id,name,appearances,goals,asists,yellow_cards,second_yellow_cards,red_cards,minutes_played,goals_conceded,clean_sheets
3146,shay-given,,,,,,,,,
120186,daniel-bachmann,13,-,,-,-,-,1.170',32,-
45861,ryan-shawcross,,,,,,,,,
53173,philipp-wollscheid,,,,,,,,,
43763,erik-pieters,15,-,1,1,-,-,997',,
74228,marc-muniesa,10,-,2,2,-,-,589',,
30456,marc-wilson,,,,,,,,,
31642,geoff-cameron,29,-,1,6,-,-,2.326',,
107617,dionatan-teixeira,,,,,,,,,
3881,glen-johnson,,,,,,,,,
15773,phil-bardsley,3,-,-,-,-,-,270',,
130756,giannelli-imbula,14,-,-,3,-,-,315',,
12124,glenn-whelan,33,-,2,5,1,-,1.847',,
147034,marco-van-ginkel,38,2,3,5,-,-,1.689',,
28990,charlie-adam,33,4,6,14,-,-,1.981',,
13427,steve-sidwell,,,,,,,,,
86792,xherdan-shaqiri,45,9,9,4,-,-,3.255',,
15760,ibrahim-afellay,,,,,,,,,
34838,stephen-ireland,,,,,,,,,
335541,oliver-shenton,31,6,-,3,-,-,1.890',,
242280,mohamed-el-ouriachi,,,,,,,,,
3306,jonathan-walters,,,,,,,,,
12516,peter-odemwingie,,,,,,,,,
44675,bojan-krkic,20,-,3,-,-,-,741',,
41384,marko-arnautovic,34,15,1,6,-,-,2.787',,
62049,mame-diouf,37,12,3,10,-,-,3.159',,
81999,joselu,38,14,5,-,-,-,3.156',,
4072,peter-crouch,,,,,,,,,
242417,george-waring,22,4,-,1,-,-,1.059',,
29692,lukasz-fabianski,38,-,,2,-,-,3.420',50,9
75890,kristoffer-nordfeldt,32,-,,2,-,-,2.910',37,10
488,gerhard-tremmel,,,,,,,,,
242681,josh-vickers,25,-,,-,-,-,2.280',15,14
85475,federico-fernandez,10,-,-,1,-,-,785',,
67355,ashley-williams,,,,,,,,,
85289,jordi-amat,33,-,2,6,1,1,2.832',,
67421,kyle-bartley,40,2,1,7,-,-,3.560',,
297212,joe-rodon,10,-,-,-,-,-,514',,
67416,neil-taylor,17,-,-,3,-,-,1.354',,
66413,franck-tabanou,,,,,,,,,
184398,stephen-kingsley,43,7,-,2,-,-,3.665',,
66219,kyle-naughton,41,-,-,6,-,-,3.494',,
66550,angel-rangel,,,,,,,,,
130216,daniel-alfei,19,1,-,2,-,-,1.476',,
214666,connor-roberts,23,1,1,3,-,-,1.841',,
197910,liam-shephard,38,3,5,3,-,-,2.865',,
63342,leroy-fer,28,-,-,1,-,-,993',,
81796,sung-yueng-ki,39,1,2,7,-,-,3.077',,
40613,jack-cork,24,1,-,4,-,-,1.990',,
265471,matt-grimes,48,-,2,6,-,-,4.264',,
40043,leon-britton,11,-,-,1,-,-,788',,
171260,jay-fulton,21,-,-,1,-,-,937',,
90466,gylfi-sigurdsson,,,,,,,,,
45403,andre-ayew,28,18,2,2,-,-,1.791',,
77932,jefferson-montero,35,2,4,2,-,1,1.307',,
14066,wayne-routledge,,,,,,,,,
189070,modou-barrow,42,17,8,6,-,-,3.005',,
374889,kenji-gorre,33,4,6,9,-,-,1.823',,
319301,daniel-james,37,4,5,7,-,1,2.744',,
22388,bafetimbi-gomis,35,18,-,5,-,-,2.059',,
68306,alberto-paloschi,21,4,1,2,-,-,1.370',,
84481,eder,23,6,1,2,-,-,1.753',,
37787,marvin-emnes,,,,,,,,,
47659,costel-pantilimon,,,,,,,,,
69001,giedrius-arlauskis,11,-,,-,-,-,976',15,3
19059,heurelho-gomes,,,,,,,,,
66518,rene-gilmartin,,,,,,,,,
223790,luke-simpson,46,-,,2,-,1,4.160',40,19
37981,sebastian-prodl,,,,,,,,,
59606,craig-cathcart,32,-,1,3,-,-,2.480',,
76799,miguel-britos,,,,,,,,,
86793,gabriele-angella,24,-,-,5,-,-,1.969',,
162395,essaid-belkalem,,,,,,,,,
69912,joel-ekstrand,,,,,,,,,
183161,tommie-hoban,,,,,,,,,
41112,jose-cholevas,11,2,3,1,1,-,933',,
35583,daniel-pudil,,,,,,,,,
58576,miguel-layun,30,1,4,8,-,1,1.984',,
